point1_x,point1_y,point2_x,point2_y,point3_x,point3_y,index_point1,index_point2,index_point3,filename
891,1373,953,1349,957,1397,49,50,61,leonardo_di_caprio.png
1069,1488,1037,1709,1021,1497,56,8,57,leonardo_di_caprio.png
1059,1420,1118,1357,1135,1459,65,53,55,leonardo_di_caprio.png
1118,1357,1059,1420,1050,1390,53,65,63,leonardo_di_caprio.png
1350,1511,1135,1459,1193,1378,11,55,54,leonardo_di_caprio.png
1118,1357,1193,1378,1166,1385,53,54,64,leonardo_di_caprio.png
1193,1378,1135,1459,1166,1385,54,55,64,leonardo_di_caprio.png
1135,1459,1118,1357,1166,1385,55,53,64,leonardo_di_caprio.png
1135,1459,1069,1488,1059,1420,55,56,65,leonardo_di_caprio.png
1021,1497,1037,1709,971,1498,57,8,58,leonardo_di_caprio.png
1000,1358,1050,1390,1004,1395,51,63,62,leonardo_di_caprio.png
1069,1488,1021,1497,1012,1427,56,57,66,leonardo_di_caprio.png
891,1373,957,1397,866,1410,49,61,60,leonardo_di_caprio.png
1021,1497,971,1498,1012,1427,57,58,66,leonardo_di_caprio.png
866,1410,957,1397,902,1470,60,61,59,leonardo_di_caprio.png
971,1498,902,1470,964,1430,58,59,67,leonardo_di_caprio.png
902,1470,833,1408,866,1410,59,48,60,leonardo_di_caprio.png
902,1470,957,1397,964,1430,59,61,67,leonardo_di_caprio.png
1012,1427,971,1498,964,1430,66,58,67,leonardo_di_caprio.png
1069,1488,1012,1427,1059,1420,56,66,65,leonardo_di_caprio.png
